ticket_id,created_date,priority,ticket_type,category,assigned_team,status,user_satisfaction,resolution_time_hours,resolved_date,sla_breached
TCKT-00817,2025-01-01 00:00:00,Medium,Incident,Access Management,L2,Closed,3,35,2025-01-02 11:00:00,False
TCKT-00626,2025-01-01 00:00:00,Low,Incident,Reporting,L1,Resolved,1,24,2025-01-02 00:00:00,False
TCKT-00162,2025-01-01 06:00:00,Medium,Request,B2B App,L2,Resolved,5,36,2025-01-02 18:00:00,False
TCKT-00208,2025-01-01 06:00:00,Medium,Request,Reporting,L1,Open,1,45,,False
TCKT-01090,2025-01-01 18:00:00,Medium,Incident,Access Management,L1,Resolved,5,14,2025-01-02 08:00:00,False
TCKT-00796,2025-01-01 18:00:00,Medium,Request,Sales Tool,L2,Closed,4,21,2025-01-02 15:00:00,False
TCKT-00851,2025-01-02 00:00:00,Medium,Incident,B2B App,L1,Closed,3,20,2025-01-02 20:00:00,False
TCKT-00343,2025-01-02 00:00:00,Low,Request,CRM,L1,Closed,1,5,2025-01-02 05:00:00,False
TCKT-00793,2025-01-02 06:00:00,Medium,Request,Sales Tool,L2,Open,5,14,,False
TCKT-01051,2025-01-02 12:00:00,Medium,Incident,Access Management,L1,Resolved,2,35,2025-01-03 23:00:00,False
TCKT-00727,2025-01-02 18:00:00,Low,Incident,B2B App,L1,In Progress,1,21,,False
TCKT-00215,2025-01-03 00:00:00,High,Incident,Access Management,L1,Resolved,1,60,2025-01-05 12:00:00,False
TCKT-00826,2025-01-03 06:00:00,High,Incident,Sales Tool,L2,Closed,4,40,2025-01-04 22:00:00,False
TCKT-00590,2025-01-03 06:00:00,Critical,Incident,CRM,L1,Resolved,4,55,2025-01-05 13:00:00,True
TCKT-00913,2025-01-03 12:00:00,Low,Incident,Access Management,L1,Closed,5,7,2025-01-03 19:00:00,False
TCKT-01130,2025-01-03 12:00:00,Low,Request,Sales Tool,L2,Closed,4,16,2025-01-04 04:00:00,False
TCKT-01171,2025-01-03 18:00:00,High,Request,Access Management,L2,Resolved,5,40,2025-01-05 10:00:00,False
TCKT-00425,2025-01-03 18:00:00,Medium,Incident,B2B App,L3,Resolved,4,27,2025-01-04 21:00:00,False
TCKT-00830,2025-01-04 00:00:00,High,Incident,B2B App,L1,In Progress,4,29,,False
TCKT-00044,2025-01-04 06:00:00,Low,Incident,CRM,L2,Resolved,3,24,2025-01-05 06:00:00,False
TCKT-00901,2025-01-04 12:00:00,Medium,Incident,B2B App,L1,Closed,1,20,2025-01-05 08:00:00,False
TCKT-00083,2025-01-04 12:00:00,Low,Incident,Access Management,L1,Closed,4,21,2025-01-05 09:00:00,False
TCKT-00268,2025-01-05 00:00:00,High,Incident,Access Management,L2,Closed,1,58,2025-01-07 10:00:00,False
TCKT-00291,2025-01-05 06:00:00,High,Incident,Reporting,L1,Closed,1,37,2025-01-06 19:00:00,False
TCKT-01007,2025-01-05 06:00:00,Critical,Incident,B2B App,L1,Resolved,5,82,2025-01-08 16:00:00,True
TCKT-00314,2025-01-05 18:00:00,Low,Request,CRM,L1,Open,5,11,,False
TCKT-00038,2025-01-06 00:00:00,Medium,Incident,Reporting,L1,Closed,1,14,2025-01-06 14:00:00,False
TCKT-00021,2025-01-06 06:00:00,Low,Request,Access Management,L1,Resolved,5,19,2025-01-07 01:00:00,False
TCKT-00918,2025-01-06 12:00:00,High,Incident,Reporting,L1,In Progress,5,56,,False
TCKT-00400,2025-01-06 12:00:00,Low,Incident,Sales Tool,L1,In Progress,1,15,,False
TCKT-01157,2025-01-07 00:00:00,Medium,Incident,B2B App,L1,Resolved,1,45,2025-01-08 21:00:00,False
TCKT-00973,2025-01-07 00:00:00,Low,Incident,B2B App,L2,Closed,1,18,2025-01-07 18:00:00,False
TCKT-00760,2025-01-07 00:00:00,Medium,Incident,Sales Tool,L1,Resolved,4,26,2025-01-08 02:00:00,False
TCKT-00256,2025-01-07 12:00:00,Medium,Request,B2B App,L3,In Progress,4,24,,False
TCKT-01110,2025-01-07 12:00:00,Low,Request,Reporting,L2,Open,3,21,,False
TCKT-00736,2025-01-07 18:00:00,Low,Incident,B2B App,L1,Closed,5,15,2025-01-08 09:00:00,False
TCKT-00752,2025-01-07 18:00:00,Low,Request,Sales Tool,L2,Closed,5,15,2025-01-08 09:00:00,False
TCKT-01093,2025-01-08 00:00:00,High,Request,Reporting,L2,Resolved,2,16,2025-01-08 16:00:00,False
TCKT-01128,2025-01-08 00:00:00,Low,Incident,CRM,L1,Closed,4,9,2025-01-08 09:00:00,False
TCKT-00510,2025-01-08 00:00:00,Low,Request,CRM,L1,Closed,5,15,2025-01-08 15:00:00,False
TCKT-01000,2025-01-08 18:00:00,High,Incident,Access Management,L1,Resolved,2,52,2025-01-10 22:00:00,False
TCKT-00768,2025-01-09 06:00:00,Low,Incident,Reporting,L1,Resolved,3,8,2025-01-09 14:00:00,False
TCKT-01104,2025-01-09 06:00:00,Low,Incident,B2B App,L2,In Progress,4,14,,False
TCKT-00633,2025-01-09 06:00:00,Medium,Incident,Access Management,L1,In Progress,4,42,,False
TCKT-00428,2025-01-09 12:00:00,Low,Request,CRM,L3,Resolved,2,5,2025-01-09 17:00:00,False
TCKT-00053,2025-01-09 12:00:00,Critical,Incident,Access Management,L1,Resolved,5,51,2025-01-11 15:00:00,True
TCKT-00312,2025-01-09 18:00:00,Low,Request,Access Management,L2,Resolved,2,16,2025-01-10 10:00:00,False
TCKT-00455,2025-01-10 00:00:00,Low,Request,CRM,L2,Closed,5,9,2025-01-10 09:00:00,False
TCKT-00252,2025-01-10 06:00:00,Low,Incident,B2B App,L3,Closed,5,19,2025-01-11 01:00:00,False
TCKT-00523,2025-01-10 12:00:00,Medium,Incident,B2B App,L2,Resolved,2,23,2025-01-11 11:00:00,False
TCKT-01102,2025-01-11 00:00:00,High,Incident,Sales Tool,L1,In Progress,3,32,,False
TCKT-00574,2025-01-11 00:00:00,Low,Request,Reporting,L1,Open,5,10,,False
TCKT-00097,2025-01-11 00:00:00,High,Incident,CRM,L2,In Progress,2,59,,False
TCKT-01156,2025-01-11 06:00:00,Low,Incident,Reporting,L1,Resolved,3,11,2025-01-11 17:00:00,False
TCKT-01101,2025-01-11 06:00:00,Low,Incident,Reporting,L2,Open,1,21,,False
TCKT-00685,2025-01-11 12:00:00,Low,Incident,Access Management,L1,Resolved,4,12,2025-01-12 00:00:00,False
TCKT-00349,2025-01-12 12:00:00,High,Incident,CRM,L1,Resolved,1,60,2025-01-15 00:00:00,False
TCKT-01182,2025-01-12 12:00:00,Low,Incident,Sales Tool,L2,Resolved,2,22,2025-01-13 10:00:00,False
TCKT-00553,2025-01-12 12:00:00,Medium,Incident,Access Management,L1,In Progress,5,8,,False
TCKT-00715,2025-01-12 12:00:00,High,Incident,B2B App,L1,Closed,2,21,2025-01-13 09:00:00,False
TCKT-00904,2025-01-12 12:00:00,Medium,Request,Reporting,L1,In Progress,2,15,,False
TCKT-00723,2025-01-12 18:00:00,Low,Request,CRM,L2,Resolved,4,15,2025-01-13 09:00:00,False
TCKT-00326,2025-01-13 12:00:00,Medium,Request,Sales Tool,L2,Open,5,9,,False
TCKT-00627,2025-01-13 12:00:00,Medium,Request,Sales Tool,L2,In Progress,3,41,,False
TCKT-00941,2025-01-13 12:00:00,Medium,Incident,Reporting,L3,Open,2,38,,False
TCKT-00682,2025-01-14 00:00:00,Medium,Incident,Sales Tool,L3,Resolved,2,27,2025-01-15 03:00:00,False
TCKT-00222,2025-01-14 06:00:00,Critical,Incident,B2B App,L1,Closed,2,94,2025-01-18 04:00:00,True
TCKT-01020,2025-01-14 12:00:00,Low,Incident,Sales Tool,L1,Closed,1,15,2025-01-15 03:00:00,False
TCKT-01137,2025-01-14 12:00:00,High,Incident,Sales Tool,L1,In Progress,4,14,,False
TCKT-01025,2025-01-14 12:00:00,Medium,Incident,Access Management,L2,Resolved,5,27,2025-01-15 15:00:00,False
TCKT-00732,2025-01-14 18:00:00,Low,Incident,Sales Tool,L1,Closed,1,18,2025-01-15 12:00:00,False
TCKT-00543,2025-01-15 06:00:00,Medium,Request,B2B App,L2,Closed,1,26,2025-01-16 08:00:00,False
TCKT-01080,2025-01-15 12:00:00,High,Incident,B2B App,L1,Resolved,5,53,2025-01-17 17:00:00,False
TCKT-01154,2025-01-16 00:00:00,Medium,Incident,Access Management,L1,Resolved,2,26,2025-01-17 02:00:00,False
TCKT-00697,2025-01-16 00:00:00,Low,Incident,Reporting,L2,Closed,3,20,2025-01-16 20:00:00,False
